thesis_id,osa_edu_source_precision,osa_edu_source_recall,osa_edu_source_f1,osa_edu_decomposition_precision,osa_edu_decomposition_recall,osa_edu_decomposition_f1,osa_edu_gold_full_semantic_coverage,osa_edu_gold_partial_or_better_coverage,osa_edu_over_decomposition_rate,osa_edu_under_decomposition_rate,osa_edu_gold_total,osa_edu_extracted_total,agent_source_precision,agent_source_recall,agent_source_f1,agent_decomposition_precision,agent_decomposition_recall,agent_decomposition_f1,agent_gold_full_semantic_coverage,agent_gold_partial_or_better_coverage,agent_over_decomposition_rate,agent_under_decomposition_rate,agent_gold_total,agent_extracted_total
thesis_007,0.5033,1.0,0.6696,0.6257,0.5847,0.6045,0.8415,0.918,0.04918032786885246,0.18579234972677597,183.0,316.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03278688524590164,0.02185792349726776,183.0,183.0
thesis_009,0.4645,0.913,0.6157,0.2703,0.4,0.3226,0.5733,0.9867,0.26666666666666666,0.05333333333333334,81.0,246.0,0.8857,0.5072,0.645,0.4194,0.2955,0.3467,0.8182,0.9545,0.0,0.3409090909090909,81.0,35.0
thesis_010,0.4719,0.9053,0.6204,0.541,0.5366,0.5388,0.7642,0.9268,0.04878048780487805,0.18699186991869918,136.0,249.0,0.9697,0.3684,0.5339,0.4848,0.2857,0.3595,0.9286,0.9643,0.0,0.5535714285714286,136.0,34.0
thesis_011,0.3708,0.9167,0.528,0.5305,0.6304,0.5762,0.7319,0.9203,0.10869565217391304,0.014492753623188406,151.0,416.0,0.8696,0.5556,0.678,0.1905,0.0889,0.1212,0.7,0.9222,0.03333333333333333,0.4888888888888889,151.0,48.0
thesis_012,0.3833,1.0,0.5542,0.6429,0.6923,0.6667,0.7949,0.9487,0.07692307692307693,0.10256410256410256,39.0,101.0,0.7727,0.7391,0.7555,0.1429,0.0968,0.1154,0.9677,1.0,0.0,0.7096774193548387,39.0,26.0
thesis_013,0.5798,1.0,0.734,0.7,0.7304,0.7149,0.887,0.9826,0.10434782608695652,0.12173913043478261,115.0,193.0,0.9412,0.5775,0.7158,0.25,0.1096,0.1524,0.8219,0.9726,0.0,0.6575342465753424,115.0,34.0
thesis_014,0.5,0.9909,0.6646,0.5023,0.5648,0.5317,0.658,0.9223,0.12953367875647667,0.07772020725388601,194.0,475.0,0.7843,0.6545,0.7135,0.175,0.0515,0.0796,0.7941,0.9265,0.007352941176470588,0.7058823529411765,194.0,51.0
thesis_015,0.3924,0.9394,0.5536,0.5161,0.6095,0.5589,0.8476,0.9905,0.0761904761904762,0.19047619047619047,110.0,322.0,0.913,0.7576,0.8281,0.3095,0.1477,0.2,0.7273,0.9091,0.022727272727272728,0.5,110.0,46.0
thesis_017,0.5572,0.9401,0.6997,0.4448,0.5936,0.5085,0.741,0.9602,0.16334661354581673,0.06374501992031872,267.0,580.0,0.9667,0.3783,0.5438,0.1552,0.0891,0.1132,0.7228,0.9208,0.009900990099009901,0.4158415841584158,267.0,60.0
thesis_019,0.6047,0.9258,0.7316,0.4486,0.5434,0.4915,0.7509,0.9887,0.12075471698113208,0.11320754716981132,283.0,553.0,0.8833,0.3712,0.5227,0.0755,0.0342,0.0471,0.7009,0.8632,0.02564102564102564,0.452991452991453,283.0,60.0
