thesis_id,accuracy,macro_f1,balanced_accuracy,precision_implemented,recall_implemented,f1_implemented,false_implementation_rate,included_total,excluded_total
thesis_007,0.903,0.9017,0.9003,0.8485,0.9882,0.913,0.1875,165.0,18.0
thesis_009,0.8197,0.7053,0.8359,0.9778,0.8148,0.8889,0.1429,61.0,20.0
thesis_010,0.8596,0.8459,0.8749,0.9565,0.8354,0.8919,0.0857,114.0,22.0
thesis_011,0.8815,0.4685,0.4474,0.9835,0.8947,0.937,1.0,135.0,16.0
thesis_012,0.7368,0.4243,0.3684,1.0,0.7368,0.8485,0.0,19.0,20.0
thesis_013,1.0,1.0,1.0,1.0,1.0,1.0,0.0,97.0,18.0
thesis_014,0.9458,0.9423,0.9384,0.9429,0.9706,0.9565,0.0938,166.0,28.0
thesis_015,1.0,1.0,1.0,1.0,1.0,1.0,0.0,85.0,25.0
thesis_017,0.7098,0.4682,0.4675,0.8708,0.7868,0.8267,0.8519,224.0,43.0
thesis_019,0.7043,0.5209,0.5939,0.929,0.7296,0.8173,0.5417,257.0,26.0
