statistic,chat_count,input_tokens,cached_input_tokens,cache_write_input_tokens,uncached_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,input_cost_usd,cached_input_cost_usd,cache_write_input_cost_usd,output_cost_usd,total_cost_usd,cache_ratio,reasoning_output_share,effective_cost_per_1m_total_tokens_usd
total,10,26064773,23831552,0,2233221,347532,93107,26412305,11.166105,11.915776,0,10.42596,33.507841,0.9143203357,0.2679091422,1.268645088
mean,10,2606477.2999999998,2383155.2000000002,0,223322.1,34753.2,9310.7,2641230.5,1.1166105,1.1915776,0,1.042596,3.3507841,0.9064979405,0.2758427898,1.3851250121
median,10,2154712,2004032,0,170908,36335,9406,2191047,0.85454,1.002016,0,1.09005,2.866143,0.9226468619,0.2678841169,1.2991016613
min,10,1014871,900480,0,114391,24441,6394,1039312,0.571955,0.45024,0,0.73323,1.755425,0.8164026693,0.1887622569,1.0141398457
max,10,5617285,5018496,0,598789,44562,12042,5657332,2.993945,2.509248,0,1.33686,6.704603,0.9446712659,0.3613279019,1.8228755547
